Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0yx5eBLk3AGOH5EruCqLDx,"Hardcore Vibes","Dune","Dune",1995-08-01,213240,3,false,qmusicnl,2025-06-22T19:41:17Z,"happy hardcore,eurodance,gabber,hardcore techno","Home Records",0.578,0.631,4,-11.93,0,0.0415,0.0156,0.488,0.0578,0.484,163.883,4
spotify:track:1qrpzJBWdl5k4X48HOEnLn,"Rio","80's One Hit Wonders","Maywood",2022-03-03,204853,29,false,qmusicnl,2025-06-22T19:41:17Z,"nederpop,hollands","UME - Global Clearing House",0.605,0.907,0,-7.151,1,0.0373,0.0531,0,0.16,0.812,95.537,4
spotify:track:7b3pmfQK67xglQWy7alsC7,"Als De Nacht Verdwijnt","20 Jaar Hits","Jan Smit",2017-11-03,216653,41,false,qmusicnl,2025-06-22T19:41:17Z,"hollands,nederpop","Vosound CTM",0.6,0.729,9,-4.982,1,0.034,0.401,0,0.103,0.772,173.987,5
spotify:track:6jEZLz3YpnEBRpVkv35AmP,"Gasolina","Barrio Fino (Bonus Track Version)","Daddy Yankee",2004-07-13,192600,5,false,qmusicnl,2025-06-22T19:41:17Z,"reggaeton,latin","El Cartel Records Inc.",0.857,0.801,0,-6.499,1,0.0618,0.332,0.0000012,0.0789,0.753,96.009,4
spotify:track:1gdXCvbvZ1cYEj5uLB0Sti,"Ik Heb Een Toeter Op M'n Waterscooter","Ko & Ko","Gebroeders Ko",2012-07-25,197773,0,false,qmusicnl,2025-06-22T19:41:17Z,"hollands","Berk Music",0.798,0.981,7,-6.26,1,0.0983,0.121,0.0000107,0.312,0.962,146.073,4
spotify:track:762B4bOcXF7I2Y8UlKTyTy,"Chiquitita","Voulez-Vous","ABBA",1979,326320,76,false,qmusicnl,2025-06-22T19:41:17Z,"","Polar Music International AB",0.5,0.554,9,-8.108,1,0.0354,0.734,0.00000372,0.312,0.372,84.229,4
spotify:track:6iSm0u8DL5MqeptlsoeS90,"Frans Duits","Frans Duits","Donnie;Frans Duijts",2021-03-26,172881,24,false,qmusicnl,2025-06-22T19:41:17Z,"hollands,nederpop","Dino Music",0.842,0.678,11,-6.361,1,0.101,0.152,0,0.0669,0.919,118.048,4
spotify:track:10mgpi81QD2NdlBCKljRR9,"Friends","20 Years of Hardcore","Scooter",2013-10-11,227544,0,false,qmusicnl,2025-06-22T19:41:17Z,"happy hardcore,eurodance","Sheffield Tunes",0.402,0.896,10,-7.874,0,0.0372,0.000192,0.923,0.378,0.232,176.054,4
spotify:track:7CKbqqrs0AS1si1ZgaQdcj,"Angels","Angels","Robbie Williams",1997-01-01,265333,65,false,qmusicnl,2025-06-22T19:41:17Z,"","Chrysalis UK",0.431,0.59,4,-6.362,1,0.0284,0.163,0.0000111,0.0981,0.257,150.193,4
spotify:track:0MtuobjDXAwn668Gmamk2y,"MaMaSé!","MaMaSé!","K3",2009-01-01,226456,45,false,qmusicnl,2025-06-22T19:41:17Z,"kindermuziek","Studio 100",0.685,0.861,8,-5.041,1,0.034,0.0203,0.000133,0.126,0.762,130.02,4
spotify:track:2zYzyRzz6pRmhPzyfMEC8s,"Highway to Hell","Highway to Hell","AC/DC",1979-07-27,208110,87,false,qmusicnl,2025-06-22T19:41:17Z,"rock,hardrock,classic rock,rock-and-roll","Columbia",0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4
spotify:track:4y0yr2ZfZARAYfG5uhQXYY,"Dansplaat","Verschil Moet Er Zijn","Brainpower",2002-12-16,228040,52,true,qmusicnl,2025-06-22T19:41:17Z,"nederpop,hollands","[PIAS] Recordings Holland",0.94,0.625,9,-6.163,0,0.172,0.125,0,0.0682,0.77,120.109,4
spotify:track:00WvmRXTkPBZNhhRK3xfdy,"As Long as You Love Me","Backstreet Boys","Backstreet Boys",1996,214333,68,false,qmusicnl,2025-06-22T19:41:17Z,"","Jive",0.775,0.817,0,-5.534,1,0.0282,0.165,0,0.126,0.753,98.22,4
spotify:track:4rino0wsmUcK36Ro4CCrke,"Boten Anna - Radio edit","LOL (2008 yellow bonus version/no videos_France)","Basshunter",2006,207066,61,false,qmusicnl,2025-06-22T19:41:17Z,"eurodance,europop","WM Sweden",0.464,0.971,9,-5.546,0,0.26,0.0635,0.000108,0.073,0.265,140.179,4
spotify:track:2TWLN4BJqA7jmWvIfrsIM1,"Op Een Onbewoond Eiland","2 - Kinderen voor Kinderen","Kinderen voor Kinderen",1981-08-01,183240,45,false,qmusicnl,2025-06-22T19:41:17Z,"kindermuziek","BNNVARA",0.5,0.469,2,-10.598,1,0.0505,0.663,0.00000665,0.273,0.873,146.738,4
spotify:track:54tuLDw8aD1aYZJhjpNJgp,"Pokémon Theme-New Studio Recording","Pokémon Theme-New Studio Recording","Jason Paige",2017-11-23,196832,38,false,qmusicnl,2025-06-22T19:41:17Z,"","745219 Records DK",0.568,0.909,7,-4.806,0,0.0473,0.0325,0,0.139,0.397,144.973,4
spotify:track:7wxqjTEvxVOsQEDJn2kB3Y,"Viben","Schuurpapier","K-Liber",2004-01-01,176146,50,false,qmusicnl,2025-06-22T19:41:17Z,"moombahton","Top Notch Music BV",0.437,0.904,6,-4.304,0,0.198,0.0802,0.00000576,0.221,0.798,150.114,4
spotify:track:4qrSd9NMui1V19MEnIAhj7,"Best Song Ever","Best Song Ever (From THIS IS US)","One Direction",2013-07-22,202440,41,false,qmusicnl,2025-06-22T19:41:17Z,"","Syco Music",0.654,0.877,1,-2.988,1,0.045,0.025,0,0.0699,0.561,118.499,4
